Order_ID,Order_Date,Customer_ID,Region,Category,Product,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Year,Month,Month_Name,Year_Month
14,2025-05-17,C1575,West,Furniture,Office Chair,7,162.92,0.05,1083.42,690.99,392.43,0.3622140997950933,2025,5,May,2025-05
15,2024-08-28,C1036,South,Furniture,Desk,5,255.34,0.0,1276.7,971.99,304.71,0.238670008615963,2024,8,Aug,2024-08
16,2025-06-08,C1028,North,Electronics,Smartphone,4,509.58,0.15,1732.57,1492.08,240.49,0.13880535851365314,2025,6,Jun,2025-06
17,2025-09-11,C1385,North,Accessories,Mouse,2,24.28,0.0,48.56,38.73,9.83,0.2024299835255354,2025,9,Sep,2025-09
18,2025-01-11,C1318,West,Electronics,Laptop,1,606.41,0.05,576.09,429.45,146.64,0.25454356090194236,2025,1,Jan,2025-01
19,2025-11-07,C1113,West,Electronics,Monitor,7,207.63,0.0,1453.41,1037.65,415.76,0.2860583042637659,2025,11,Nov,2025-11
20,2025-05-11,C1113,South,Electronics,Headphones,2,83.67,0.1,150.61,137.13,13.48,0.08950268906447115,2025,5,May,2025-05
21,2024-01-02,C1416,East,Electronics,Laptop,1,673.49,0.1,606.14,476.44,129.7,0.21397696901705876,2024,1,Jan,2024-01
22,2024-09-03,C1198,West,Office Supplies,Pen Set,1,9.74,0.1,8.77,7.13,1.64,0.18700114025085518,2024,9,Sep,2024-09
23,2025-05-25,C1403,North,Accessories,USB Hub,3,27.24,0.0,81.72,58.99,22.73,0.2781448849730788,2025,5,May,2025-05
24,2024-12-11,C1338,East,Electronics,Monitor,7,228.4,0.0,1598.8,1075.7,523.1,0.3271828871653741,2024,12,Dec,2024-12
25,2025-10-02,C1144,West,Office Supplies,Printer Paper,7,12.47,0.1,78.56,55.42,23.14,0.2945519348268839,2025,10,Oct,2025-10
26,2024-12-11,C1160,Central,Furniture,Office Chair,2,196.76,0.0,314.82,280.97,33.85,0.1075217584651547,2024,12,Dec,2024-12
27,2024-01-09,C1587,South,Office Supplies,Stapler,3,14.71,0.15,37.51,35.0,2.51,0.06691548920287924,2024,1,Jan,2024-01
28,2025-09-16,C1338,North,Accessories,USB Hub,6,27.61,0.0,165.66,122.46,43.2,0.260775081492213,2025,9,Sep,2025-09
29,2025-12-06,C1504,West,Office Supplies,Notebook,4,7.58,0.1,27.29,19.95,7.34,0.268962990106266,2025,12,Dec,2025-12
30,2025-01-26,C1038,West,Office Supplies,Notebook,4,8.22,0.05,31.24,21.05,10.19,0.3261843790012804,2025,1,Jan,2025-01
31,2024-08-17,C1481,South,Accessories,Mouse,3,25.01,0.1,67.53,53.91,13.62,0.2016881386050644,2024,8,Aug,2024-08
32,2025-03-28,C1158,South,Furniture,Table Lamp,3,49.98,0.1,134.95,122.75,12.2,0.09040385327899222,2025,3,Mar,2025-03
33,2025-04-21,C1099,South,Accessories,USB Hub,1,28.98,0.2,23.18,20.65,2.53,0.10914581535806729,2025,4,Apr,2025-04
34,2025-11-30,C1566,Central,Electronics,Laptop,7,648.09,0.0,4536.63,3037.02,1499.61,0.33055594130444843,2025,11,Nov,2025-11
35,2025-07-23,C1386,Central,Electronics,Smartphone,7,445.45,0.2,2494.52,2196.42,298.1,0.11950194827060918,2025,7,Jul,2025-07
36,2024-04-13,C1408,West,Office Supplies,Stapler,7,15.93,0.05,105.93,86.36,19.57,0.1847446426885679,2024,4,Apr,2024-04
37,2025-06-08,C1471,North,Electronics,Monitor,5,201.12,0.0,1005.6,679.01,326.59,0.3247712808273667,2025,6,Jun,2025-06
38,2024-05-22,C1125,South,Electronics,Headphones,7,89.38,0.0,625.66,444.37,181.29,0.28975801553559444,2024,5,May,2024-05
39,2024-05-29,C1264,East,Electronics,Monitor,2,213.85,0.15,363.54,261.11,102.43,0.28175716564889697,2024,5,May,2024-05
40,2024-02-22,C1269,South,Accessories,Mouse,4,23.47,0.15,79.8,63.72,16.08,0.2015037593984962,2024,2,Feb,2024-02
41,2025-01-04,C1474,East,Electronics,Laptop,7,681.73,0.05,4533.5,3055.14,1478.36,0.32609683467519573,2025,1,Jan,2025-01
42,2024-04-26,C1096,North,Furniture,Table Lamp,5,59.57,0.0,297.85,204.37,93.48,0.31384925297968774,2024,4,Apr,2024-04
43,2025-09-29,C1581,North,Electronics,Laptop,5,652.17,0.1,2934.76,2405.55,529.21,0.18032479657621067,2025,9,Sep,2025-09
44,2024-09-03,C1047,North,Furniture,Bookshelf,5,135.57,0.0,677.85,408.09,269.76,0.3979641513609205,2024,9,Sep,2024-09
45,2024-04-03,C1254,Central,Office Supplies,Stapler,2,15.92,0.1,28.66,21.11,7.55,0.26343335659455686,2024,4,Apr,2024-04
46,2024-12-22,C1442,South,Office Supplies,Notebook,4,7.8,0.0,31.2,22.78,8.42,0.26987179487179486,2024,12,Dec,2024-12
47,2025-08-30,C1380,Central,Office Supplies,Stapler,7,16.1,0.15,95.8,82.58,13.22,0.13799582463465554,2025,8,Aug,2025-08
48,2025-06-28,C1556,East,Furniture,Office Chair,4,196.6,0.05,747.08,626.98,120.1,0.16075922257321837,2025,6,Jun,2025-06
49,2024-10-11,C1418,North,Electronics,Smartphone,5,497.57,0.0,2487.85,1485.46,1002.39,0.40291416283136045,2024,10,Oct,2024-10
50,2024-04-24,C1277,South,Electronics,Laptop,2,699.07,0.1,1258.33,1057.58,200.75,0.1595368464552224,2024,4,Apr,2024-04
51,2025-11-06,C1096,North,Office Supplies,Stapler,3,14.74,0.2,35.38,29.6,5.78,0.16336913510457884,2025,11,Nov,2025-11
52,2025-10-25,C1273,Central,Furniture,Table Lamp,1,57.64,0.1,51.88,36.73,15.15,0.2920200462606014,2025,10,Oct,2025-10
53,2024-03-02,C1076,East,Furniture,Office Chair,3,163.93,0.0,491.79,398.37,93.42,0.1899591288964802,2024,3,Mar,2024-03
54,2024-09-21,C1099,South,Accessories,USB Hub,4,30.79,0.1,110.84,84.69,26.15,0.23592565860700107,2024,9,Sep,2024-09
55,2025-01-30,C1042,South,Office Supplies,Stapler,5,15.87,0.1,71.41,47.76,23.65,0.3311861083881809,2025,1,Jan,2025-01
56,2024-07-04,C1588,North,Furniture,Office Chair,3,174.63,0.15,445.31,318.58,126.73,0.2845882643551683,2024,7,Jul,2024-07
57,2024-01-09,C1194,West,Office Supplies,Notebook,6,8.32,0.0,49.92,29.83,20.09,0.40244391025641024,2024,1,Jan,2024-01
58,2025-05-31,C1217,East,Electronics,Monitor,5,233.76,0.05,1110.36,943.62,166.74,0.15016751323894956,2025,5,May,2025-05
59,2024-10-27,C1531,West,Furniture,Bookshelf,3,141.64,0.1,382.43,289.72,92.71,0.24242345004314514,2024,10,Oct,2024-10
60,2024-02-08,C1361,East,Electronics,Smartphone,4,503.13,0.1,1811.27,1537.82,273.45,0.15097141784493753,2024,2,Feb,2024-02
61,2024-01-01,C1117,West,Electronics,Laptop,7,595.78,0.05,3961.94,2947.72,1014.22,0.2559907520053307,2024,1,Jan,2024-01
62,2024-05-13,C1229,West,Accessories,Backpack,5,40.89,0.05,194.23,163.95,30.28,0.15589764711939455,2024,5,May,2024-05
63,2025-11-06,C1373,East,Accessories,Keyboard,7,36.37,0.1,229.13,175.44,53.69,0.2343211277440754,2025,11,Nov,2025-11
64,2025-07-19,C1408,East,Accessories,Backpack,3,49.05,0.05,139.79,116.79,23.0,0.16453251305529723,2025,7,Jul,2025-07
65,2025-10-29,C1041,South,Electronics,Monitor,2,208.09,0.05,395.37,267.95,127.42,0.3222803955788249,2025,10,Oct,2025-10
66,2025-12-04,C1558,East,Electronics,Laptop,1,663.36,0.05,630.19,427.89,202.3,0.32101429727542485,2025,12,Dec,2025-12
67,2025-06-30,C1242,West,Accessories,USB Hub,5,29.51,0.1,132.8,118.61,14.19,0.1068524096385542,2025,6,Jun,2025-06
68,2024-09-07,C1282,North,Electronics,Laptop,6,713.35,0.15,3638.08,2636.97,1001.11,0.275175367226669,2024,9,Sep,2024-09
69,2024-03-03,C1405,South,Accessories,Backpack,5,40.83,0.0,204.15,124.97,79.18,0.38785206955669854,2024,3,Mar,2024-03
70,2025-06-01,C1458,West,Furniture,Office Chair,6,183.07,0.15,933.66,828.5,105.16,0.11263200736884947,2025,6,Jun,2025-06
71,2024-03-23,C1488,South,Furniture,Desk,1,265.52,0.2,212.42,168.57,43.85,0.20643065624705773,2024,3,Mar,2024-03
72,2024-02-03,C1268,South,Electronics,Smartphone,2,506.14,0.1,911.05,713.49,197.56,0.21684869107074256,2024,2,Feb,2024-02
73,2024-02-23,C1229,Central,Electronics,Headphones,1,89.64,0.1,80.68,61.04,19.64,0.24343083787803668,2024,2,Feb,2024-02
74,2025-07-31,C1335,West,Accessories,USB Hub,4,30.65,0.2,98.08,89.84,8.24,0.08401305057096248,2025,7,Jul,2025-07
75,2025-03-10,C1563,Central,Furniture,Desk,1,254.62,0.1,229.16,185.69,43.47,0.18969279106301273,2025,3,Mar,2025-03
76,2024-03-21,C1546,Central,Electronics,Monitor,1,209.36,0.05,198.89,144.5,54.39,0.27346774599024587,2024,3,Mar,2024-03
77,2024-02-22,C1095,South,Electronics,Headphones,3,83.32,0.0,249.96,152.66,97.3,0.3892622819651144,2024,2,Feb,2024-02
78,2025-01-08,C1061,West,Electronics,Monitor,1,218.85,0.15,186.02,162.0,24.02,0.12912590044081282,2025,1,Jan,2025-01
79,2025-09-25,C1233,South,Accessories,Keyboard,4,31.72,0.05,120.54,90.3,30.24,0.2508710801393728,2025,9,Sep,2025-09
80,2025-06-07,C1121,North,Furniture,Desk,2,236.04,0.1,424.87,364.38,60.49,0.1423729611410549,2025,6,Jun,2025-06
81,2024-08-01,C1253,North,Accessories,Mouse,5,26.84,0.0,134.2,80.56,53.64,0.3997019374068555,2024,8,Aug,2024-08
82,2025-11-22,C1365,North,Furniture,Desk,6,253.18,0.1,1367.17,1049.7,317.47,0.23220960085431952,2025,11,Nov,2025-11
83,2025-10-27,C1274,North,Electronics,Headphones,3,90.21,0.15,230.04,191.53,38.51,0.1674056685793775,2025,10,Oct,2025-10
84,2025-05-20,C1273,South,Furniture,Table Lamp,1,51.51,0.1,46.36,36.85,9.51,0.2051337359792925,2025,5,May,2025-05
85,2024-08-18,C1233,North,Furniture,Office Chair,1,179.06,0.05,170.11,119.12,50.99,0.29974722238551527,2024,8,Aug,2024-08
86,2024-04-18,C1554,East,Office Supplies,Printer Paper,2,12.21,0.1,21.98,17.47,4.51,0.2051865332120109,2024,4,Apr,2024-04
87,2025-02-28,C1377,South,Accessories,USB Hub,2,29.99,0.0,59.98,39.54,20.44,0.3407802600866956,2025,2,Feb,2025-02
88,2024-10-15,C1350,North,Electronics,Smartphone,7,513.68,0.05,3415.97,2161.39,1254.58,0.3672690333931504,2024,10,Oct,2024-10
89,2025-08-29,C1006,North,Accessories,Mouse,3,25.98,0.0,77.94,63.86,14.08,0.18065178342314603,2025,8,Aug,2025-08
90,2024-11-17,C1574,East,Accessories,Mouse,6,24.95,0.2,119.76,112.8,6.96,0.058116232464929855,2024,11,Nov,2024-11
91,2025-03-16,C1225,West,Furniture,Desk,3,244.66,0.15,623.88,596.23,27.65,0.044319420401359236,2025,3,Mar,2025-03
92,2025-06-15,C1259,South,Electronics,Smartphone,6,487.8,0.05,2780.46,1805.97,974.49,0.35047797846399514,2025,6,Jun,2025-06
93,2025-11-03,C1596,South,Furniture,Office Chair,7,169.26,0.1,1066.34,881.86,184.48,0.17300298216328752,2025,11,Nov,2025-11
94,2024-11-16,C1095,North,Electronics,Laptop,3,663.79,0.05,1891.8,1534.61,357.19,0.18880959932339572,2024,11,Nov,2024-11
95,2025-08-03,C1547,West,Accessories,Keyboard,5,38.07,0.1,171.32,118.68,52.64,0.3072612654681298,2025,8,Aug,2025-08
96,2025-05-27,C1291,West,Furniture,Table Lamp,5,58.25,0.0,291.25,183.02,108.23,0.3716051502145923,2025,5,May,2025-05
97,2025-12-25,C1402,North,Electronics,Smartphone,2,462.35,0.15,786.0,666.89,119.11,0.15153944020356233,2025,12,Dec,2025-12
98,2024-10-22,C1145,East,Office Supplies,Stapler,3,15.12,0.1,40.82,31.09,9.73,0.23836354728074474,2024,10,Oct,2024-10
99,2024-08-12,C1179,South,Furniture,Office Chair,3,177.54,0.1,479.36,351.46,127.9,0.26681408544726304,2024,8,Aug,2024-08
100,2025-07-07,C1550,North,Office Supplies,Notebook,1,8.63,0.1,7.77,6.64,1.13,0.14543114543114544,2025,7,Jul,2025-07
101,2025-03-16,C1118,South,Electronics,Headphones,1,91.26,0.0,91.26,69.63,21.63,0.23701512163050623,2025,3,Mar,2025-03
102,2024-06-07,C1130,South,Furniture,Table Lamp,7,51.15,0.1,322.24,227.37,94.87,0.2944078947368421,2024,6,Jun,2024-06
103,2025-02-14,C1550,West,Office Supplies,Stapler,2,14.54,0.0,29.08,18.13,10.95,0.3765474552957359,2025,2,Feb,2025-02
104,2024-05-13,C1460,East,Furniture,Desk,3,264.48,0.0,793.44,556.53,236.91,0.2985859044162129,2024,5,May,2024-05
105,2024-12-21,C1051,Central,Office Supplies,Notebook,7,8.12,0.0,56.84,41.24,15.6,0.27445460942997885,2024,12,Dec,2024-12
106,2024-01-29,C1420,North,Accessories,Mouse,7,23.68,0.0,165.76,102.73,63.03,0.38024855212355213,2024,1,Jan,2024-01
107,2024-06-30,C1309,West,Electronics,Smartphone,7,490.36,0.0,3432.52,2303.34,1129.18,0.32896530828662324,2024,6,Jun,2024-06
108,2024-05-16,C1386,North,Office Supplies,Printer Paper,1,11.79,0.0,11.79,9.28,2.51,0.21289228159457166,2024,5,May,2024-05
109,2024-07-28,C1025,East,Accessories,USB Hub,3,32.48,0.0,97.44,62.32,35.12,0.36042692939244664,2024,7,Jul,2024-07
110,2024-06-28,C1469,East,Accessories,Backpack,5,46.19,0.1,207.86,134.68,73.18,0.3520638891561628,2024,6,Jun,2024-06
111,2024-02-18,C1561,North,Accessories,Backpack,4,41.27,0.05,156.83,135.24,21.59,0.13766498756615442,2024,2,Feb,2024-02
112,2024-11-22,C1285,East,Electronics,Headphones,3,97.16,0.0,291.48,183.41,108.07,0.370763002607383,2024,11,Nov,2024-11
113,2024-10-31,C1194,North,Furniture,Table Lamp,3,58.03,0.0,174.09,119.91,54.18,0.3112183353437877,2024,10,Oct,2024-10
114,2025-05-16,C1458,East,Furniture,Desk,3,243.46,0.0,730.38,574.68,155.7,0.21317670253840465,2025,5,May,2025-05
115,2024-06-10,C1443,East,Electronics,Monitor,2,215.95,0.15,367.11,307.69,59.42,0.16185884339843642,2024,6,Jun,2024-06
116,2024-11-23,C1096,North,Office Supplies,Pen Set,3,9.48,0.1,25.6,17.17,8.43,0.329296875,2024,11,Nov,2024-11
117,2024-03-28,C1007,West,Accessories,Mouse,4,23.21,0.15,78.91,62.9,16.01,0.20288936763401347,2024,3,Mar,2024-03
118,2024-11-25,C1523,North,Electronics,Headphones,5,92.57,0.15,393.42,346.65,46.77,0.11888058563367394,2024,11,Nov,2024-11
119,2025-01-20,C1053,South,Electronics,Monitor,5,232.05,0.05,1102.24,773.96,328.28,0.2978298737117143,2025,1,Jan,2025-01
120,2025-05-14,C1115,Central,Office Supplies,Notebook,2,8.78,0.1,15.8,12.17,3.63,0.22974683544303795,2025,5,May,2025-05
121,2024-07-27,C1004,South,Furniture,Office Chair,1,167.02,0.0,167.02,130.34,36.68,0.2196144174350377,2024,7,Jul,2024-07
122,2025-10-27,C1356,East,Electronics,Headphones,5,97.46,0.0,487.3,296.41,190.89,0.3917299404884055,2025,10,Oct,2025-10
123,2024-02-10,C1027,South,Furniture,Office Chair,6,169.43,0.15,864.09,592.3,271.79,0.3145389947806363,2024,2,Feb,2024-02
124,2024-10-13,C1476,Central,Office Supplies,Stapler,5,14.03,0.1,63.13,56.08,7.05,0.11167432282591477,2024,10,Oct,2024-10
125,2025-12-02,C1029,East,Electronics,Monitor,6,201.64,0.1,1088.86,876.84,212.02,0.19471741087008435,2025,12,Dec,2025-12
126,2024-05-28,C1055,West,Furniture,Table Lamp,1,56.21,0.1,50.59,45.41,5.18,0.10239177703103379,2024,5,May,2024-05
127,2025-09-14,C1244,Central,Electronics,Monitor,1,221.75,0.0,221.75,137.24,84.51,0.3811048478015784,2025,9,Sep,2025-09
128,2025-05-05,C1296,West,Accessories,Mouse,2,24.87,0.1,44.77,32.96,11.81,0.26379271833817286,2025,5,May,2025-05
129,2024-01-17,C1108,East,Office Supplies,Stapler,2,13.73,0.05,26.09,16.44,9.65,0.36987351475661173,2024,1,Jan,2024-01
130,2024-06-20,C1017,Central,Electronics,Monitor,3,233.53,0.05,665.56,568.11,97.45,0.14641805396958954,2024,6,Jun,2024-06
131,2024-11-25,C1081,West,Furniture,Table Lamp,6,57.84,0.2,277.63,254.5,23.13,0.08331232215538667,2024,11,Nov,2024-11
132,2025-12-27,C1489,West,Office Supplies,Stapler,1,15.44,0.15,13.12,11.52,1.6,0.12195121951219513,2025,12,Dec,2025-12
133,2025-06-21,C1335,North,Office Supplies,Pen Set,1,10.14,0.0,10.14,8.11,2.03,0.2001972386587771,2025,6,Jun,2025-06
134,2025-09-20,C1372,West,Electronics,Monitor,2,233.0,0.05,442.7,353.61,89.09,0.2012423763270838,2025,9,Sep,2025-09
135,2025-02-05,C1131,East,Office Supplies,Printer Paper,7,12.15,0.05,80.8,59.15,21.65,0.26794554455445546,2025,2,Feb,2025-02
136,2024-06-19,C1397,South,Office Supplies,Stapler,7,15.12,0.05,100.55,81.47,19.08,0.1897563401292889,2024,6,Jun,2024-06
137,2025-12-22,C1251,East,Furniture,Table Lamp,6,54.58,0.05,311.11,267.77,43.34,0.13930764038442994,2025,12,Dec,2025-12
138,2024-05-20,C1318,South,Accessories,Mouse,7,22.76,0.0,159.32,95.79,63.53,0.39875721817725335,2024,5,May,2024-05
139,2024-09-01,C1340,East,Office Supplies,Stapler,7,13.78,0.05,91.64,63.73,27.91,0.304561326931471,2024,9,Sep,2024-09
140,2025-01-23,C1293,West,Electronics,Laptop,6,695.87,0.05,3966.46,3138.65,827.81,0.20870247021273375,2025,1,Jan,2025-01
141,2025-10-26,C1187,South,Accessories,Mouse,1,24.46,0.0,24.46,14.92,9.54,0.39002452984464425,2025,10,Oct,2025-10
142,2024-03-01,C1153,South,Office Supplies,Pen Set,7,9.93,0.15,59.08,50.55,8.53,0.1443805010155721,2024,3,Mar,2024-03
143,2025-12-11,C1330,Central,Electronics,Monitor,5,224.74,0.1,1011.33,790.01,221.32,0.21884053671897402,2025,12,Dec,2025-12
144,2024-04-16,C1047,North,Electronics,Laptop,2,630.52,0.1,1134.94,748.91,386.03,0.34013251801857364,2024,4,Apr,2024-04
145,2025-12-27,C1062,Central,Accessories,Keyboard,1,34.27,0.0,34.27,26.11,8.16,0.2381091333527867,2025,12,Dec,2025-12
146,2024-05-24,C1357,North,Accessories,Keyboard,5,35.26,0.0,176.3,127.34,48.96,0.2777084515031197,2024,5,May,2024-05
147,2025-09-01,C1170,East,Furniture,Bookshelf,4,127.24,0.05,483.51,399.29,84.22,0.17418460838452152,2025,9,Sep,2025-09
148,2025-06-04,C1251,South,Accessories,Mouse,3,23.76,0.05,67.72,41.43,26.29,0.3882161842882457,2025,6,Jun,2025-06
149,2024-06-24,C1301,East,Electronics,Monitor,5,241.62,0.15,1026.88,718.53,308.35,0.3002785135556248,2024,6,Jun,2024-06
150,2024-08-11,C1216,East,Accessories,Mouse,2,26.82,0.1,48.28,40.56,7.72,0.15990057995028997,2024,8,Aug,2024-08
151,2024-05-26,C1170,Central,Electronics,Headphones,3,87.01,0.0,261.03,166.35,94.68,0.3627169290886106,2024,5,May,2024-05
152,2024-12-21,C1535,West,Office Supplies,Pen Set,5,10.74,0.15,45.64,31.52,14.12,0.30937773882559155,2024,12,Dec,2024-12
153,2025-03-01,C1524,North,Electronics,Smartphone,7,510.52,0.0,3573.64,2786.41,787.23,0.2202879976718416,2025,3,Mar,2025-03
154,2024-10-21,C1448,North,Electronics,Headphones,1,83.09,0.1,74.78,55.7,19.08,0.25514843541053756,2024,10,Oct,2024-10
155,2024-12-30,C1572,West,Electronics,Smartphone,7,524.45,0.1,3304.04,2430.48,873.56,0.2643914722582051,2024,12,Dec,2024-12
156,2024-11-30,C1017,Central,Electronics,Monitor,4,200.98,0.1,723.53,524.34,199.19,0.27530302820892016,2024,11,Nov,2024-11
157,2025-06-07,C1285,North,Office Supplies,Notebook,6,7.27,0.1,39.26,34.42,4.84,0.12328069281711666,2025,6,Jun,2025-06
158,2025-12-16,C1079,West,Electronics,Laptop,4,587.88,0.0,2351.52,1546.52,805.0,0.3423317683881064,2025,12,Dec,2025-12
159,2025-04-03,C1039,West,Furniture,Desk,2,256.16,0.2,409.86,352.65,57.21,0.13958424827990046,2025,4,Apr,2025-04
160,2024-09-27,C1382,West,Office Supplies,Stapler,2,14.19,0.1,25.54,17.35,8.19,0.3206734534064213,2024,9,Sep,2024-09
161,2025-03-15,C1387,East,Accessories,USB Hub,5,29.39,0.1,132.26,94.9,37.36,0.2824739150158778,2025,3,Mar,2025-03
162,2025-05-21,C1524,East,Accessories,Mouse,2,22.66,0.0,45.32,33.37,11.95,0.26368049426301854,2025,5,May,2025-05
163,2024-09-27,C1027,East,Furniture,Table Lamp,6,50.5,0.0,303.0,186.91,116.09,0.38313531353135316,2024,9,Sep,2024-09
164,2025-11-16,C1558,East,Electronics,Laptop,4,704.71,0.0,2818.84,2052.1,766.74,0.27200550581090094,2025,11,Nov,2025-11
165,2025-06-10,C1501,East,Electronics,Laptop,6,640.94,0.1,3461.08,2415.55,1045.53,0.3020820090838698,2025,6,Jun,2025-06
166,2024-04-26,C1338,East,Furniture,Table Lamp,5,54.61,0.0,273.05,202.96,70.09,0.2566929133858268,2024,4,Apr,2024-04
167,2024-12-31,C1214,Central,Office Supplies,Pen Set,5,10.91,0.1,49.1,43.52,5.58,0.11364562118126273,2024,12,Dec,2024-12
168,2025-11-21,C1242,North,Electronics,Laptop,6,649.86,0.0,3899.16,2839.98,1059.18,0.27164312313421357,2025,11,Nov,2025-11
169,2024-01-02,C1166,East,Accessories,Keyboard,1,34.0,0.15,28.9,22.35,6.55,0.22664359861591696,2024,1,Jan,2024-01
170,2024-03-30,C1009,West,Accessories,Keyboard,2,32.23,0.0,64.46,47.23,17.23,0.2672975488675148,2024,3,Mar,2024-03
171,2024-03-13,C1318,North,Furniture,Desk,4,271.13,0.15,921.84,837.7,84.14,0.09127397379154734,2024,3,Mar,2024-03
172,2024-04-20,C1127,West,Electronics,Monitor,4,232.49,0.1,836.96,646.71,190.25,0.22731074364366277,2024,4,Apr,2024-04
173,2025-11-30,C1122,West,Electronics,Smartphone,4,447.32,0.0,1789.28,1412.15,377.13,0.21077193060896002,2025,11,Nov,2025-11
174,2024-05-26,C1594,Central,Electronics,Monitor,5,226.98,0.1,1021.41,793.94,227.47,0.222701951224288,2024,5,May,2024-05
175,2025-12-23,C1093,South,Accessories,Backpack,3,42.3,0.1,114.21,94.32,19.89,0.17415287628053586,2025,12,Dec,2025-12
176,2024-07-25,C1516,South,Furniture,Desk,5,272.62,0.1,1226.79,929.8,296.99,0.24208707276714028,2024,7,Jul,2024-07
177,2024-12-29,C1512,West,Furniture,Desk,1,264.58,0.05,251.35,155.32,96.03,0.38205689277899346,2024,12,Dec,2024-12
178,2025-07-31,C1237,East,Office Supplies,Pen Set,2,9.57,0.2,15.31,12.75,2.56,0.16721097322011758,2025,7,Jul,2025-07
179,2025-06-13,C1526,West,Office Supplies,Pen Set,2,10.82,0.1,19.48,13.48,6.0,0.3080082135523614,2025,6,Jun,2025-06
180,2024-11-29,C1014,East,Furniture,Desk,5,239.06,0.05,1135.53,809.46,326.07,0.2871522548941904,2024,11,Nov,2024-11
181,2025-05-18,C1163,East,Office Supplies,Pen Set,6,9.62,0.1,51.95,39.01,12.94,0.24908565928777668,2025,5,May,2025-05
182,2024-08-16,C1270,North,Office Supplies,Stapler,4,14.86,0.2,47.55,37.84,9.71,0.20420609884332286,2024,8,Aug,2024-08
183,2025-08-14,C1513,East,Electronics,Smartphone,1,455.88,0.05,433.09,331.93,101.16,0.23357731649310767,2025,8,Aug,2025-08
184,2024-11-08,C1497,North,Electronics,Laptop,3,671.29,0.1,1812.48,1397.45,415.03,0.22898459569209037,2024,11,Nov,2024-11
185,2025-09-23,C1511,West,Office Supplies,Pen Set,6,9.22,0.0,55.32,35.67,19.65,0.35520607375271146,2025,9,Sep,2025-09
186,2024-10-19,C1206,Central,Electronics,Headphones,3,97.81,0.05,278.76,192.45,86.31,0.3096211795092553,2024,10,Oct,2024-10
187,2024-01-12,C1185,North,Accessories,USB Hub,3,32.71,0.0,98.13,71.97,26.16,0.2665851421583614,2024,1,Jan,2024-01
188,2024-02-08,C1308,East,Furniture,Desk,7,241.26,0.1,1519.94,991.66,528.28,0.3475663513033409,2024,2,Feb,2024-02
189,2024-12-01,C1358,Central,Office Supplies,Stapler,2,15.69,0.0,31.38,19.38,12.0,0.3824091778202677,2024,12,Dec,2024-12
190,2025-05-31,C1145,Central,Electronics,Laptop,7,633.66,0.2,3548.5,2591.31,957.19,0.26974496266027903,2025,5,May,2025-05
191,2025-06-21,C1147,Central,Furniture,Table Lamp,3,57.08,0.15,145.55,127.12,18.43,0.1266231535554792,2025,6,Jun,2025-06
192,2024-10-13,C1575,West,Furniture,Office Chair,1,185.68,0.0,185.68,152.23,33.45,0.18014864282636794,2024,10,Oct,2024-10
193,2025-08-07,C1381,Central,Accessories,Backpack,1,43.1,0.0,43.1,26.13,16.97,0.39373549883990716,2025,8,Aug,2025-08
194,2024-04-11,C1331,South,Office Supplies,Printer Paper,2,12.71,0.1,22.88,17.4,5.48,0.23951048951048953,2024,4,Apr,2024-04
